DEST_STATE_NM,TOTAL_FLIGHTS_1
Alabama       ,10.0
Alaska        ,10.0
Arizona       ,26.0
Arkansa       ,8.0
Arkansas      ,9.0
Califor       ,47.0
California    ,71.0
Colorad       ,24.0
Colorado      ,58.0
Connect       ,1.0
Connecticu    ,0.0
Connecticut   ,0.0
Florida       ,62.0
Georgia       ,30.0
Hawaii        ,6.0
Idaho         ,7.0
Illinoi       ,99.0
Illinois      ,82.0
Indiana       ,20.0
Iowa          ,15.0
Kansas        ,11.0
Kentuck       ,8.0
Kentucky      ,9.0
Louisia       ,11.0
Louisiana     ,11.0
Maine         ,2.0
Marylan       ,6.0
Maryland      ,4.0
Massach       ,4.0
Massachuse    ,0.0
Massachusetts ,2.0
Michiga       ,21.0
Michigan      ,28.0
Minneso       ,8.0
Minnesota     ,15.0
Mississ       ,2.0
Mississipp    ,3.0
Mississippi   ,0.0
Missour       ,14.0
Missouri      ,14.0
Montana       ,9.0
Nebrask       ,4.0
Nebraska      ,5.0
Nevada        ,15.0
New Ham       ,0.0
New Hampshire ,0.0
New Jer       ,21.0
New Jersey    ,8.0
New Mex       ,6.0
New Mexico    ,6.0
New Yor       ,23.0
New York      ,26.0
North C       ,15.0
North Caro    ,3.0
North Carolina,10.0
North D       ,1.0
North Dako    ,5.0
North Dakota  ,12.0
Ohio          ,24.0
Oklahom       ,9.0
Oklahoma      ,14.0
Oregon        ,12.0
Pennsyl       ,11.0
Pennsylvan    ,4.0
Pennsylvania  ,7.0
Puerto        ,0.0
Puerto Rico   ,0.0
Rhode I       ,1.0
Rhode Isla    ,1.0
Rhode Island  ,0.0
South C       ,4.0
South Caro    ,1.0
South Carolina,5.0
South D       ,1.0
South Dako    ,5.0
South Dakota  ,4.0
Tenness       ,11.0
Tennessee     ,10.0
Texas         ,176.0
U.S. Vi       ,0.0
Utah          ,9.0
Vermont       ,3.0
Virgini       ,18.0
Virginia      ,17.0
Washing       ,4.0
Washington    ,9.0
West Vi       ,0.0
West Virgi    ,1.0
West Virginia ,1.0
Wiscons       ,18.0
Wisconsin     ,19.0
Wyoming       ,9.0
